2015년 12월 25일 금요일 오전 12:27:43,,,,
,,,,
Bill of Material: _TRCWS_PC_TOTAL_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,_TRCWS_PC_TOTAL_SKEL,Part,_TRCWS_PC_TOTAL_SKEL,33
1,TRCWS_PC_ITX_ASM,Assembly,TRCWS_PC_ITX_ASM,9
1,TRCWS_PC_CASE_LEFT_ASM,Assembly,TRCWS_PC_CASE_LEFT_ASM,7
1,TRCWS_PC_CASE_RIGHT_ASM,Assembly,TRCWS_PC_CASE_RIGHT_ASM,8
1,TRCWS_PC_CASE_REAR,Part,TRCWS_PC_CASE_REAR,8
1,TRCWS_PC_CASE_TOP_ASM,Assembly,TRCWS_PC_CASE_TOP_ASM,5
1,TRCWS_PC_CASE_BOT_ASM,Assembly,TRCWS_PC_CASE_BOT_ASM,5
1,TRCWS_PC_CASE_FRONT_ASM,Assembly,TRCWS_PC_CASE_FRONT_ASM,3
,,,,
Bill of Material: TRCWS_PC_ITX_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_ITX_BRKT_MAIN_ASM,Assembly,TRCWS_PC_ITX_BRKT_MAIN_ASM,13
1,TRCWS_PC_ITX_BRKT_SUB_ASM,Assembly,TRCWS_PC_ITX_BRKT_SUB_ASM,9
,,,,
Bill of Material: TRCWS_PC_ITX_BRKT_MAIN_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_ITX_BRKT_MAIN,Part,TRCWS_PC_ITX_BRKT_MAIN,48
1,TRCWS_PCB_USB,Part,TRCWS_PCB_USB,10
8,RDBOLT_M3X6L,Part,RDBOLT_M3X6L,1
1,FAN_60X60X10,Part,FAN_60X60X10,3
4,WRENCH_BOLT_M4X20L,Part,WRENCH_BOLT_M4X20L,1
1,TRCWS_PCB_SMPS,Part,TRCWS_PCB_SMPS,3
1,TRCWS_PCB_ITX_ASM,Assembly,TRCWS_PCB_ITX_ASM,7
1,TRCWS_PCB_VGA_ASM,Assembly,TRCWS_PCB_VGA_ASM,1
1,TRCWS_PCB_VGA_EXT,Part,TRCWS_PCB_VGA_EXT,2
2,TRCWS_PC_ITX_CONDUCT,Part,TRCWS_PC_ITX_CONDUCT,5
,,,,
Bill of Material: TRCWS_PCB_ITX_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PCB_ITX_HEATSINK_CPU,Part,TRCWS_PCB_ITX_HEATSINK_CPU,15
1,TRCWS_PCB_ITX_HEATSINK_CHIPSET,Part,TRCWS_PCB_ITX_HEATSINK_CHIPSET,10
1,TRCWS_PCB_ITX,Part,TRCWS_PCB_ITX,4
2,WRENCH_BOLT_M3X12L,Part,WRENCH_BOLT_M3X12L,1
4,WRENCH_BOLT_M3X15L,Part,WRENCH_BOLT_M3X15L,1
2,HEX_NUT_M3,Part,HEX_NUT_M3,35
4,RDBOLT_M3X6L,Part,RDBOLT_M3X6L,1
,,,,
Bill of Material: TRCWS_PCB_VGA_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PCB_VGA_HEATSINK,Part,TRCWS_PCB_VGA_HEATSINK,3
1,TRCWS_PCB_VGA_BRKT,Part,TRCWS_PCB_VGA_BRKT,2
1,TRCWS_PCB_VGA,Part,TRCWS_PCB_VGA,3
,,,,
Bill of Material: TRCWS_PC_ITX_BRKT_SUB_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_ITX_BRKT_SUB,Part,TRCWS_PC_ITX_BRKT_SUB,17
1,SSD,Part,SSD,3
4,RDBOLT_M3X6L,Part,RDBOLT_M3X6L,1
1,ENCODER_AXIS_Q7401,Part,ENCODER_AXIS_Q7401,3
2,RDBOLT_M4X30L,Part,RDBOLT_M4X30L,1
6,HEX_NUT_M4,Part,HEX_NUT_M4,35
1,TERMINALBLOCK_GGE-10_P08,Part,TERMINALBLOCK_GGE-10_P08,3
4,RDBOLT_M4X12L,Part,RDBOLT_M4X12L,1
4,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Bill of Material: TRCWS_PC_CASE_LEFT_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_CASE_LEFT,Part,TRCWS_PC_CASE_LEFT,18
2,TRCWS_PC_SEAL_A,Part,TRCWS_PC_SEAL_A,2
12,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Bill of Material: TRCWS_PC_CASE_RIGHT_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_CASE_RIGHT,Part,TRCWS_PC_CASE_RIGHT,18
1,MS3470W18,Part,MS3470W18,1
3,MS3470W14,Part,MS3470W14,1
16,CSBOLT_M3X10L,Part,CSBOLT_M3X10L,1
1,METALSW_D19,Part,METALSW_D19,1
12,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
2,TRCWS_PC_SEAL_A,Part,TRCWS_PC_SEAL_A,2
,,,,
Bill of Material: TRCWS_PC_CASE_TOP_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_CASE_TOP,Part,TRCWS_PC_CASE_TOP,16
1,TRCWS_PC_SEAL_B,Part,TRCWS_PC_SEAL_B,3
30,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Bill of Material: TRCWS_PC_CASE_BOT_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_CASE_BOT,Part,TRCWS_PC_CASE_BOT,13
1,TRCWS_PC_SEAL_B,Part,TRCWS_PC_SEAL_B,3
22,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Bill of Material: TRCWS_PC_CASE_FRONT_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_CASE_FRONT,Part,TRCWS_PC_CASE_FRONT,27
1,FILTER_60X60X6_5,Part,FILTER_60X60X6_5,4
1,TRCWS_PC_HOOD_ASM,Assembly,TRCWS_PC_HOOD_ASM,6
1,TRCWS_PC_PANEL_ASM,Assembly,TRCWS_PC_PANEL_ASM,4
,,,,
Bill of Material: TRCWS_PC_HOOD_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_HOOD,Part,TRCWS_PC_HOOD,10
4,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Bill of Material: TRCWS_PC_PANEL_ASM,,,,
Quantity,Part Number,Type,Nomenclature,Revision
1,TRCWS_PC_PANEL,Part,TRCWS_PC_PANEL,5
4,WRENCH_BOLT_M4X10L,Part,WRENCH_BOLT_M4X10L,1
,,,,
Recapitulation of: _TRCWS_PC_TOTAL_ASM,,,,
Different parts: 41,,,,
Total parts: 182,,,,
,,,,
Quantity,Part Number,,,
1,_TRCWS_PC_TOTAL_SKEL,,,
1,TRCWS_PC_ITX_BRKT_MAIN,,,
1,TRCWS_PCB_USB,,,
16,RDBOLT_M3X6L,,,
1,FAN_60X60X10,,,
4,WRENCH_BOLT_M4X20L,,,
1,TRCWS_PCB_SMPS,,,
1,TRCWS_PCB_ITX_HEATSINK_CPU,,,
1,TRCWS_PCB_ITX_HEATSINK_CHIPSET,,,
1,TRCWS_PCB_ITX,,,
2,WRENCH_BOLT_M3X12L,,,
4,WRENCH_BOLT_M3X15L,,,
2,HEX_NUT_M3,,,
1,TRCWS_PCB_VGA_HEATSINK,,,
1,TRCWS_PCB_VGA_BRKT,,,
1,TRCWS_PCB_VGA,,,
1,TRCWS_PCB_VGA_EXT,,,
2,TRCWS_PC_ITX_CONDUCT,,,
1,TRCWS_PC_ITX_BRKT_SUB,,,
1,SSD,,,
1,ENCODER_AXIS_Q7401,,,
2,RDBOLT_M4X30L,,,
6,HEX_NUT_M4,,,
1,TERMINALBLOCK_GGE-10_P08,,,
4,RDBOLT_M4X12L,,,
88,WRENCH_BOLT_M4X10L,,,
1,TRCWS_PC_CASE_LEFT,,,
4,TRCWS_PC_SEAL_A,,,
1,TRCWS_PC_CASE_RIGHT,,,
1,MS3470W18,,,
3,MS3470W14,,,
16,CSBOLT_M3X10L,,,
1,METALSW_D19,,,
1,TRCWS_PC_CASE_REAR,,,
1,TRCWS_PC_CASE_TOP,,,
2,TRCWS_PC_SEAL_B,,,
1,TRCWS_PC_CASE_BOT,,,
1,TRCWS_PC_CASE_FRONT,,,
1,FILTER_60X60X6_5,,,
1,TRCWS_PC_HOOD,,,
1,TRCWS_PC_PANEL,,,
